一  1
圩  1 2 1 1 1 2
扞  1 2 1 1 1 2
圬  1 2 1 1 1 5
圭  1 2 1 1 2 1
扛  1 2 1 1 2 1
寺  1 2 1 1 2 4
吉  1 2 1 2 5 1
扣  1 2 1 2 5 1
圲  1 2 1 3 1 2
扦  1 2 1 3 1 2
考  1 2 1 3 1 5
圫  1 2 1 3 1 5
圪  1 2 1 3 1 5
托  1 2 1 3 1 5
圳  1 2 1 3 2 2
老  1 2 1 3 3 5
巩  1 2 1 3 5 4
圾  1 2 1 3 5 4
执  1 2 1 3 5 4
圹  1 2 1 4 1 3
扩  1 2 1 4 1 3
扪  1 2 1 4 2 5
扫  1 2 1 5 1 1
圮  1 2 1 5 1 5
圯  1 2 1 5 1 5
地  1 2 1 5 2 5
场  1 2 1 5 3 3
扬  1 2 1 5 3 3
耳  1 2 2 1 1 1
芋  1 2 2 1 1 2
芏  1 2 2 1 2 1
共  1 2 2 1 3 4
芊  1 2 2 3 1 2
芍  1 2 2 3 5 4
芃  1 2 2 3 5 4
芄  1 2 2 3 5 4
芨  1 2 2 3 5 4
芒  1 2 2 4 1 5
亚  1 2 2 4 3 1
芝  1 2 2 4 5 4
芑  1 2 2 5 1 5
芎  1 2 2 5 1 5
芗  1 2 2 5 5 3
朽  1 2 3 4 1 5
朴  1 2 3 4 2 4
朳  1 2 3 4 3 4
机  1 2 3 4 3 5
朸  1 2 3 4 5 3
权  1 2 3 4 5 4
过  1 2 4 4 5 4
亘  1 2 5 1 1 1
臣  1 2 5 1 2 5
吏  1 2 5 1 3 4
再  1 2 5 2 1 1
协  1 2 5 3 4 4
西  1 2 5 3 5 1
𨙸  1 2 5 4 5 2
压  1 3 1 2 1 4
厌  1 3 1 3 4 4
厍  1 3 1 5 1 2
戌  1 3 1 5 3 4
在  1 3 2 1 2 1
百  1 3 2 5 1 1
有  1 3 2 5 1 1
存  1 3 2 5 2 1
而  1 3 2 5 2 2
页  1 3 2 5 3 4
匠  1 3 3 1 2 5
夸  1 3 4 1 1 5
夺  1 3 4 1 2 4
夼  1 3 4 3 2 2
灰  1 3 4 3 3 4
达  1 3 4 4 5 4
戍  1 3 4 5 3 4
尥  1 3 5 3 5 4
